epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,12793.3,1.28046,4.40541,1.41804,0.66135,0.58642,0.60914,0.35411,1.45182,3.60125,1.42845,0.0002377,0.0002377,0.0002377
79,12935.6,1.29231,4.46109,1.42202,0.65893,0.57972,0.60788,0.35441,1.44758,3.59579,1.42631,0.0002278,0.0002278,0.0002278
80,13074.8,1.27285,4.36066,1.41277,0.65903,0.59002,0.60958,0.35533,1.44624,3.58793,1.42622,0.0002179,0.0002179,0.0002179
81,13243,1.28974,4.39951,1.42616,0.64485,0.59891,0.60973,0.35604,1.44478,3.57721,1.42577,0.000208,0.000208,0.000208
82,13394.1,1.26662,4.33166,1.40926,0.63895,0.6052,0.60948,0.35838,1.44162,3.57258,1.42366,0.0001981,0.0001981,0.0001981
83,13531.2,1.27759,4.26834,1.40873,0.64265,0.60116,0.61075,0.36039,1.44007,3.56366,1.42249,0.0001882,0.0001882,0.0001882
84,13683.2,1.26782,4.23906,1.39652,0.64548,0.59708,0.61089,0.36151,1.43658,3.55777,1.41972,0.0001783,0.0001783,0.0001783
85,13819.7,1.26831,4.28556,1.40457,0.66611,0.60167,0.61401,0.36318,1.4351,3.5561,1.41981,0.0001684,0.0001684,0.0001684
86,13958.4,1.26711,4.18432,1.4055,0.66886,0.60538,0.61513,0.3639,1.43237,3.55158,1.4186,0.0001585,0.0001585,0.0001585
87,14116,1.24783,4.1948,1.39579,0.66324,0.60339,0.61494,0.36285,1.42945,3.54957,1.41728,0.0001486,0.0001486,0.0001486
88,14257.4,1.24355,4.12086,1.38962,0.66347,0.60404,0.61631,0.36494,1.42528,3.53971,1.41511,0.0001387,0.0001387,0.0001387
89,14398.6,1.23751,4.13874,1.37834,0.66898,0.60527,0.61554,0.36478,1.42089,3.52997,1.41225,0.0001288,0.0001288,0.0001288
90,14554.1,1.24557,4.11686,1.39427,0.66936,0.60612,0.61615,0.36666,1.41684,3.52116,1.40946,0.0001189,0.0001189,0.0001189
91,14720.1,1.21186,3.52182,1.38497,0.66579,0.6037,0.61721,0.36704,1.41407,3.51642,1.40772,0.000109,0.000109,0.000109
92,14861.4,1.19613,3.43994,1.3827,0.66199,0.60042,0.61612,0.36749,1.41217,3.51038,1.40639,9.91e-05,9.91e-05,9.91e-05
93,15023.9,1.19591,3.38019,1.3633,0.66412,0.59659,0.61727,0.36839,1.40964,3.51009,1.40523,8.92e-05,8.92e-05,8.92e-05
94,15160.8,1.18175,3.36033,1.3596,0.66396,0.59455,0.61849,0.36821,1.40693,3.50731,1.40421,7.93e-05,7.93e-05,7.93e-05
95,15305.8,1.19928,3.43538,1.37382,0.67247,0.59005,0.61814,0.36852,1.40452,3.5094,1.40304,6.94e-05,6.94e-05,6.94e-05
96,15443.7,1.1762,3.2993,1.35265,0.67357,0.59345,0.6185,0.36972,1.40327,3.50345,1.40231,5.95e-05,5.95e-05,5.95e-05
97,15611.4,1.18597,3.35312,1.36092,0.66879,0.59017,0.61832,0.36999,1.40097,3.4992,1.40124,4.96e-05,4.96e-05,4.96e-05
98,15746.4,1.16741,3.2736,1.35185,0.65194,0.59047,0.6173,0.3711,1.39923,3.4962,1.4011,3.97e-05,3.97e-05,3.97e-05
99,15920.9,1.17469,3.24578,1.35285,0.65806,0.59154,0.61848,0.37119,1.39705,3.49063,1.40002,2.98e-05,2.98e-05,2.98e-05
100,16059.2,1.16583,3.25397,1.34651,0.63941,0.59328,0.61789,0.37138,1.39429,3.48526,1.39887,1.99e-05,1.99e-05,1.99e-05
